Gene	Cell Type	General Cell Type
CSGALNACT1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NPC1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
GPX3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NFKBIZ	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RTN4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
CCSER1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
CADPS2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SIK3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SREBF2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ELF3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
IMMP2L	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MYO1B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
DNAJB1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NFAT5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SLC8A1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
LGALS3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
JUN	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FRAS1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ZSWIM6	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RAB7A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PRKG1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NAMPT	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TOP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PRKAG2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AGBL4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TMEM51	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RP11-123O10.4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MCU	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HSPA1A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RAP1B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
YBX3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HSPH1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TOX	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TPST1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
JMJD1C	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PRKCA	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
XIST	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
GRIP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PIK3C2G	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
GAB1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
BACE2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
GLS	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PALLD	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TRAK1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
EZR	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ALDOB	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
DEFB1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SGPP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NEDD4L	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TPM4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HSP90B1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
DUSP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
COBLL1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
KRT19	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ERC1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ARIH1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HIVEP2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
BTBD9	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NDRG1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SAT1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
DLG2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
LRRFIP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
EMCN	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ERBB4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FNDC3A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SCN2A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
BRAF	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MYO1D	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NAALADL2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ACTN4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HLA-E	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ACTG1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NR3C2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SH3RF1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TMTC2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ADK	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
LIMA1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RAD51B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
GAREM	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AFF4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
STAT3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ITGA2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TSC22D2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NEK1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
THSD4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
DYRK1A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AAK1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
UBC	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
DNAJA1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AKT3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ANK3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NOS1AP	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MPPED2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MAP4K3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ST6GAL1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FAM160A1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
YWHAZ	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TJP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ADGRL2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
UBE2H	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
C4orf19	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PCDH9	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
BCAS3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
KIF13B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SHROOM3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HSD11B2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RBPMS	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MYO10	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SCIN	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HIF1A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TANC2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PARK2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AHI1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RP11-368L12.1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ITGAV	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RORA	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MAPK8	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ZNF292	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SMYD3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ZFAND3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NLK	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
EPB41L5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
LRP1B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RNF19A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
GDF15	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ASAP2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
DCDC2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SDK1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TRPS1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HERC1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
IGFBP5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
CD2AP	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PFKFB3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FHOD3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PDK4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MTATP6P1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
LAMB1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
COL18A1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
WWTR1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RAPGEF2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MBD5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SMARCA2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
BACH1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NFE2L2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ADAMTS9-AS2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HNRNPC	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AC004980.7	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
VMP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MACROD2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
KIAA1217	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ACSL4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MED13L	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FER	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
IL6ST	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SPTBN1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
DANT2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
UBE2D3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ABLIM1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
QKI	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NCOA7	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TIMP3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
WWC1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SIK2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SPAG9	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AHNAK	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RBM47	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ZFAND5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RANBP2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
CAST	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PAWR	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FBXL17	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SAMD12	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SLC38A1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
OSBPL3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
UACA	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ATXN1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TRA2A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AFF1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MEF2A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RALGAPA1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ZNF704	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
EXT1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SSH2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PRKCE	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ARID1B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MAML3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
CLMN	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
IQGAP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ARHGEF12	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MAGI3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MTUS1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
LINC-PINT	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AQP2	Collecting Duct - Principal Cells (medulla)	Epithelial
AQP3	Collecting Duct - Principal Cells (medulla)	Epithelial
FXYD4	Collecting Duct - Principal Cells (medulla)	Epithelial
ST6GAL1	Collecting Duct - Principal Cells (medulla)	Epithelial
KRT19	Collecting Duct - Principal Cells (medulla)	Epithelial
HSD11B2	Collecting Duct - Principal Cells (medulla)	Epithelial
ID1	Collecting Duct - Principal Cells (medulla)	Epithelial
TMSB4X	Collecting Duct - Principal Cells (medulla)	Epithelial
PAPPA	Collecting Duct - Principal Cells (medulla)	Epithelial
WFDC2	Collecting Duct - Principal Cells (medulla)	Epithelial
TSPAN1	Collecting Duct - Principal Cells (medulla)	Epithelial
TGFBR1	Collecting Duct - Principal Cells (medulla)	Epithelial
RASD1	Collecting Duct - Principal Cells (medulla)	Epithelial
ATHL1	Collecting Duct - Principal Cells (medulla)	Epithelial
SLC38A1	Collecting Duct - Principal Cells (medulla)	Epithelial
MMP7	Collecting Duct - Principal Cells (medulla)	Epithelial
RALBP1	Collecting Duct - Principal Cells (medulla)	Epithelial
PRDX1	Collecting Duct - Principal Cells (medulla)	Epithelial
IGFBP3	Collecting Duct - Principal Cells (medulla)	Epithelial
PDK4	Collecting Duct - Principal Cells (medulla)	Epithelial
BTG2	Collecting Duct - Principal Cells (medulla)	Epithelial
MNS1	Collecting Duct - Principal Cells (medulla)	Epithelial
GSTP1	Collecting Duct - Principal Cells (medulla)	Epithelial
CTSH	Collecting Duct - Principal Cells (medulla)	Epithelial
FUCA1	Collecting Duct - Principal Cells (medulla)	Epithelial
PWRN1	Collecting Duct - Principal Cells (medulla)	Epithelial
KRT8	Collecting Duct - Principal Cells (medulla)	Epithelial
CD24	Collecting Duct - Principal Cells (medulla)	Epithelial
KITLG	Collecting Duct - Principal Cells (medulla)	Epithelial
EPCAM	Collecting Duct - Principal Cells (medulla)	Epithelial
NUPR1	Collecting Duct - Principal Cells (medulla)	Epithelial
GATA3	Collecting Duct - Principal Cells (medulla)	Epithelial
CDH16	Collecting Duct - Principal Cells (medulla)	Epithelial
ITM2B	Collecting Duct - Principal Cells (medulla)	Epithelial
ACTG1	Collecting Duct - Principal Cells (medulla)	Epithelial
SPTBN2	Collecting Duct - Principal Cells (medulla)	Epithelial
C1orf168	Collecting Duct - Principal Cells (medulla)	Epithelial
TMBIM6	Collecting Duct - Principal Cells (medulla)	Epithelial
H3F3B	Collecting Duct - Principal Cells (medulla)	Epithelial
CD9	Collecting Duct - Principal Cells (medulla)	Epithelial
SLC16A5	Collecting Duct - Principal Cells (medulla)	Epithelial
ASAH1	Collecting Duct - Principal Cells (medulla)	Epithelial
RPL3	Collecting Duct - Principal Cells (medulla)	Epithelial
HSP90AA1	Collecting Duct - Principal Cells (medulla)	Epithelial
MYL12B	Collecting Duct - Principal Cells (medulla)	Epithelial
DUSP6	Collecting Duct - Principal Cells (medulla)	Epithelial
EEF1A1	Collecting Duct - Principal Cells (medulla)	Epithelial
CYB5A	Collecting Duct - Principal Cells (medulla)	Epithelial
TOX	Collecting Duct - Principal Cells (medulla)	Epithelial
GSTM3	Collecting Duct - Principal Cells (medulla)	Epithelial
HSP90B1	Collecting Duct - Principal Cells (medulla)	Epithelial
RPL7	Collecting Duct - Principal Cells (medulla)	Epithelial
ARG2	Collecting Duct - Principal Cells (medulla)	Epithelial
RPL19	Collecting Duct - Principal Cells (medulla)	Epithelial
RDH10	Collecting Duct - Principal Cells (medulla)	Epithelial
B2M	Collecting Duct - Principal Cells (medulla)	Epithelial
CYSTM1	Collecting Duct - Principal Cells (medulla)	Epithelial
BAG1	Collecting Duct - Principal Cells (medulla)	Epithelial
GDF15	Collecting Duct - Principal Cells (medulla)	Epithelial
RPL10	Collecting Duct - Principal Cells (medulla)	Epithelial
BMPR1B	Collecting Duct - Principal Cells (medulla)	Epithelial
DUSP1	Collecting Duct - Principal Cells (medulla)	Epithelial
RPLP0	Collecting Duct - Principal Cells (medulla)	Epithelial
GAPDH	Collecting Duct - Principal Cells (medulla)	Epithelial
SOD1	Collecting Duct - Principal Cells (medulla)	Epithelial
RPS2	Collecting Duct - Principal Cells (medulla)	Epithelial
MYL6	Collecting Duct - Principal Cells (medulla)	Epithelial
UBB	Collecting Duct - Principal Cells (medulla)	Epithelial
AKR1B1	Collecting Duct - Principal Cells (medulla)	Epithelial
SRP14	Collecting Duct - Principal Cells (medulla)	Epithelial
RPS6	Collecting Duct - Principal Cells (medulla)	Epithelial
RBBP8	Collecting Duct - Principal Cells (medulla)	Epithelial
PFKFB3	Collecting Duct - Principal Cells (medulla)	Epithelial
RPS4X	Collecting Duct - Principal Cells (medulla)	Epithelial
ATP6V0E1	Collecting Duct - Principal Cells (medulla)	Epithelial
PEBP1	Collecting Duct - Principal Cells (medulla)	Epithelial
RPL13	Collecting Duct - Principal Cells (medulla)	Epithelial
HACD3	Collecting Duct - Principal Cells (medulla)	Epithelial
KRT18	Collecting Duct - Principal Cells (medulla)	Epithelial
CA2	Collecting Duct - Principal Cells (medulla)	Epithelial
AIF1L	Collecting Duct - Principal Cells (medulla)	Epithelial
CLU	Collecting Duct - Principal Cells (medulla)	Epithelial
LDHB	Collecting Duct - Principal Cells (medulla)	Epithelial
MYL12A	Collecting Duct - Principal Cells (medulla)	Epithelial
RPS3A	Collecting Duct - Principal Cells (medulla)	Epithelial
EIF1	Collecting Duct - Principal Cells (medulla)	Epithelial
CD164	Collecting Duct - Principal Cells (medulla)	Epithelial
PLEKHA2	Collecting Duct - Principal Cells (medulla)	Epithelial
PTBP3	Collecting Duct - Principal Cells (medulla)	Epithelial
MAL2	Collecting Duct - Principal Cells (medulla)	Epithelial
RPL11	Collecting Duct - Principal Cells (medulla)	Epithelial
CD63	Collecting Duct - Principal Cells (medulla)	Epithelial
RPS14	Collecting Duct - Principal Cells (medulla)	Epithelial
TACSTD2	Collecting Duct - Principal Cells (medulla)	Epithelial
TPM4	Collecting Duct - Principal Cells (medulla)	Epithelial
RPS18	Collecting Duct - Principal Cells (medulla)	Epithelial
TPT1	Collecting Duct - Principal Cells (medulla)	Epithelial
PIK3C2G	Collecting Duct - Principal Cells (medulla)	Epithelial
DYNLT1	Collecting Duct - Principal Cells (medulla)	Epithelial
TXNIP	Collecting Duct - Principal Cells (medulla)	Epithelial
S100A10	Collecting Duct - Principal Cells (medulla)	Epithelial
RPL15	Collecting Duct - Principal Cells (medulla)	Epithelial
IGFBP7	Collecting Duct - Principal Cells (medulla)	Epithelial
SLPI	Collecting Duct - Principal Cells (medulla)	Epithelial
SARAF	Collecting Duct - Principal Cells (medulla)	Epithelial
RTN4	Collecting Duct - Principal Cells (medulla)	Epithelial
GNB2L1	Collecting Duct - Principal Cells (medulla)	Epithelial
